시도,시군구,생년,RFID구분,축종,품종,마릿수
"충청남도","천안시","2015","내장형","개","시츄",62
"충청남도","천안시","2015","내장형","개","실키테리어",1
"충청남도","천안시","2015","외장형","개","아메리칸 코카 스파니엘",2
"충청남도","천안시","2015","인식표","개","아메리칸 코카 스파니엘",1
"충청남도","천안시","2015","내장형","개","아메리칸 코카 스파니엘",3
"충청남도","천안시","2015","내장형","개","아메리칸 핏불 테리어",2
"충청남도","천안시","2015","내장형","개","아메리칸불리",3
"충청남도","천안시","2015","외장형","개","아키다",1
"충청남도","천안시","2015","내장형","개","아키다",1
"충청남도","천안시","2015","내장형","개","알라스칸 말라뮤트",1
"충청남도","천안시","2015","외장형","개","올드 잉글리쉬 불독",2
"충청남도","천안시","2015","인식표","개","올드 잉글리쉬 불독",2
"충청남도","천안시","2015","내장형","개","올드 잉글리쉬 불독",2
"충청남도","천안시","2015","내장형","개","올드 잉글리쉬 쉽독",2
"충청남도","천안시","2015","내장형","개","와이마라너",1
"충청남도","천안시","2015","외장형","개","요크셔 테리어",21
"충청남도","천안시","2015","인식표","개","요크셔 테리어",13
"충청남도","천안시","2015","내장형","개","요크셔 테리어",40
"충청남도","천안시","2015","내장형","개","웨스트하이랜드화이트테리어",1
"충청남도","천안시","2015","외장형","개","웰시 코기 카디건",1
"충청남도","천안시","2015","내장형","개","웰시 코기 카디건",5
"충청남도","천안시","2015","외장형","개","웰시 코기 펨브로크",8
"충청남도","천안시","2015","인식표","개","웰시 코기 펨브로크",4
"충청남도","천안시","2015","내장형","개","웰시 코기 펨브로크",20
"충청남도","천안시","2015","인식표","개","이탈리안 그레이 하운드",2
"충청남도","천안시","2015","내장형","개","이탈리안 그레이 하운드",1
"충청남도","천안시","2015","인식표","개","잉글리쉬 스프링거 스파니엘",1
"충청남도","천안시","2015","외장형","개","재패니즈 스피츠",4
"충청남도","천안시","2015","인식표","개","재패니즈 스피츠",1
"충청남도","천안시","2015","내장형","개","재패니즈 스피츠",1
"충청남도","천안시","2015","내장형","개","저먼 셰퍼드 독",1
"충청남도","천안시","2015","내장형","개","제주개",1
"충청남도","천안시","2015","외장형","개","제페니즈칭",1
"충청남도","천안시","2015","외장형","개","진도견",18
"충청남도","천안시","2015","인식표","개","진도견",8
"충청남도","천안시","2015","내장형","개","진도견",19
"충청남도","천안시","2015","외장형","개","차우차우",1
"충청남도","천안시","2015","내장형","개","차우차우",2
"충청남도","천안시","2015","외장형","개","치와와",64
"충청남도","천안시","2015","인식표","개","치와와",24
"충청남도","천안시","2015","내장형","개","치와와",71
"충청남도","천안시","2015","외장형","개","카네 코르소",1
"충청남도","천안시","2015","내장형","개","카네 코르소",4
"충청남도","천안시","2015","외장형","개","케언 테리어",1
"충청남도","천안시","2015","외장형","개","코카 스파니엘",7
"충청남도","천안시","2015","인식표","개","코카 스파니엘",2
"충청남도","천안시","2015","내장형","개","코카 스파니엘",15
"충청남도","천안시","2015","외장형","개","토이 푸들",18
"충청남도","천안시","2015","인식표","개","토이 푸들",19
"충청남도","천안시","2015","내장형","개","토이 푸들",19
"충청남도","천안시","2019","내장형","개","올드 잉글리쉬 쉽독",4
"충청남도","천안시","2019","외장형","개","요크셔 테리어",9
"충청남도","천안시","2019","인식표","개","요크셔 테리어",9
"충청남도","천안시","2019","내장형","개","요크셔 테리어",22
"충청남도","천안시","2019","외장형","개","웨스트하이랜드화이트테리어",2
"충청남도","천안시","2019","외장형","개","웰시 코기 카디건",8
"충청남도","천안시","2019","인식표","개","웰시 코기 카디건",3
"충청남도","천안시","2019","내장형","개","웰시 코기 카디건",9
"충청남도","천안시","2019","외장형","개","웰시 코기 펨브로크",8
"충청남도","천안시","2019","인식표","개","웰시 코기 펨브로크",8
"충청남도","천안시","2019","내장형","개","웰시 코기 펨브로크",30
"충청남도","천안시","2019","외장형","개","이탈리안 그레이 하운드",4
"충청남도","천안시","2019","인식표","개","이탈리안 그레이 하운드",7
"충청남도","천안시","2019","내장형","개","이탈리안 그레이 하운드",13
"충청남도","천안시","2019","내장형","개","잉글리쉬 코카 스파니엘",1
"충청남도","천안시","2019","외장형","개","잉글리쉬 포인터",1
"충청남도","천안시","2019","내장형","개","잉글리쉬 포인터",2
"충청남도","천안시","2019","외장형","개","재패니즈 스피츠",1
"충청남도","천안시","2019","내장형","개","재패니즈 스피츠",1
