"행정구역(시군구)별",2024.04,2024.05,2024.06,2024.07,2018,2019,2020,2021,2022,2023
"전국",24021667,24042533,24057429,24074820,22042947,22481466,23093108,23472895,23705814,23914851
"서울특별시",4486137,4486224,4486014,4486857,4263868,4327605,4417954,4426007,4446296,4469417
"종로구",72479,72475,72394,72429,73735,73947,75003,73494,72524,72067
"중구",65225,65230,65273,65338,61502,62739,63686,63519,63139,64714
"용산구",105240,104367,104187,104057,108974,110126,113093,111036,109805,107825
"성동구",133297,133325,133233,133102,137209,135838,135870,134233,133305,133089
"광진구",170588,170508,170469,170439,162606,164428,167427,167949,169291,170077
"동대문구",174086,174045,173903,173860,161820,164191,167598,168219,169873,172801
"중랑구",188694,188736,188664,188789,180511,181579,185920,185712,187413,188097
"성북구",197440,197353,197371,197324,186601,192592,195396,195017,197082,196800
"강북구",143238,143175,143075,143059,143395,144277,145896,144536,144313,143560
"도봉구",138829,138790,138849,138902,138087,138508,139114,138656,138356,138261
"노원구",218585,218529,218369,218265,217655,216966,218270,217378,217540,217904
"은평구",216381,216412,216345,216249,205001,207681,213914,214711,213876,215721
"서대문구",147508,147475,147312,147262,138549,140157,144838,143647,145797,146845
"마포구",181710,181641,181651,181755,172505,175023,178482,179861,180084,181090
"양천구",180585,180672,180679,180617,176498,177256,180633,181404,181187,180695
"강서구",274226,274205,274010,273897,258503,262708,266982,271175,273697,274084
"구로구",184234,184156,184097,184076,172457,176568,180531,180929,183655,184096
"금천구",121117,121188,121223,121238,107971,110622,114715,117595,119583,120381
"영등포구",191856,191913,192064,192168,171085,174806,184714,187020,188832,190737
"동작구",187734,187712,187662,187629,177176,180753,184229,184812,185773,186675
"관악구",286396,286401,286338,286403,262222,268559,274811,276597,283623,284578
"서초구",170348,170366,170464,170606,172918,173199,173502,170244,167749,169884
"강남구",243741,244572,245046,245344,228775,232981,234872,234233,232777,239775
"송파구",287220,287320,287380,287418,270866,278711,281959,282417,284853,285927
"강동구",205380,205658,205956,206631,177247,183390,196499,201613,202169,203734
"부산광역시",1569293,1569954,1570212,1570545,1480468,1497908,1530431,1544663,1555867,1564588
"중구",23819,23772,23751,23735,22975,23160,23847,23925,23960,23747
"서구",53458,53394,53365,53344,52819,52786,53853,52960,53626,53630
"동구",47375,47354,47311,47275,43261,44657,46003,46362,46349,47428
"영도구",54312,54267,54167,54105,55312,54859,54903,54659,54342,54293
"부산진구",183993,184283,184639,184721,165253,166865,173263,173353,178049,181914
"동래구",119528,119577,119755,119824,108757,112136,114987,115718,119503,119706
"남구",119893,119954,120102,120157,117558,117397,117876,117821,117601,118427
"북구",122975,123027,122992,122927,120036,120273,120668,123316,123569,123082
"해운대구",169165,169067,169102,169499,166748,168650,171376,172397,170435,169532
"사하구",140503,140513,140424,140375,138503,138790,138854,139604,140778,140764
"금정구",105621,105706,105566,105390,106415,107024,107561,108070,106950,105906
"강서구",62215,62312,62322,62463,50488,53731,58141,61502,62426,62238
"연제구",98521,98715,98837,98999,87833,90266,92583,93606,93557,95873
"수영구",88261,88266,88261,88287,79842,81452,84311,85896,87361,88299
"사상구",100051,100110,100047,99970,96698,96726,97556,98621,98625,100003
"기장군",79603,79637,79571,79474,67970,69136,74649,76853,78736,79746
"대구광역시",1098201,1099465,1100317,1101110,1021266,1031251,1056627,1063893,1070873,1094148
"중구",45964,46352,46666,46963,38619,38418,39111,38370,40749,44871
"동구",163393,163943,164334,164495,152370,152545,155865,158423,159422,162691
"서구",84251,84125,84068,83913,85142,82733,83437,82301,81116,83949
"남구",75443,75333,75300,75213,74134,74588,76582,76256,76401,75887
"북구",191340,191764,191989,192068,177162,180115,187494,190956,192697,191349
"수성구",173616,173752,173764,173900,165843,167040,170870,171239,171480,171939
"달서구",236632,236719,236806,237204,227966,231978,235303,234950,235883,235685
"달성군",114041,113962,113883,113872,100030,103834,107965,111398,113125,114189
"군위군",13521,13515,13507,13482,-,-,-,-,-,13588
"인천광역시",1361550,1363146,1364650,1366579,1213201,1238641,1267956,1298647,1322632,1350912
"중구",81548,81811,82304,82631,57887,65002,68379,71061,75960,79520
"중구영종출장소",0,0,0,0,-,-,0,-,0,0
"중구용유출장소",0,0,0,0,-,-,0,-,0,0
"동구",27969,27944,27910,27886,28952,28739,28777,28681,27618,28091
"미추홀구",198109,198511,198835,199193,184275,184872,188277,193561,194841,196607
